,image,pred,lon,lat,anditi_id
45,Bến Tre City-490.jpeg,0.96851826,10.211160804291403N,106.37212399834277E,718
97,Cao Lanh City-1476.jpeg,0.96846664,10.433841538167465N,105.60435468748452E,494
26,Sa Đéc City-877.jpeg,0.96747243,10.29366800517735N,105.75866764172142E,906
12,Thanh Liêm District-3202.jpeg,0.96728647,20.44505547841839N,105.92326344368263E,391
129,Trà Vinh City-789.jpeg,0.96494627,9.918972105070441N,106.34134199671676E,757
13,Vĩnh Long-1210.jpeg,0.9644483,10.251692338402876N,105.9623905696832E,663
15,Ninh Bình-500.jpeg,0.9643416,20.226705341087808N,106.0003043934227E,866
8,Tây Ninh City-772.jpeg,0.9638923,11.31917823842134N,106.12925111468995E,96
32,Cao Lanh City-1606.jpeg,0.9636851,10.435189004930335N,105.66601539150818E,951
27,Hiệp Hòa District-4403.jpeg,0.96367234,21.318731746320022N,105.93120460866358E,157
25,Ninh Bình-563.jpeg,0.9635826,20.22940027461362N,105.97445293692057E,880
93,Vĩnh Long-1706.jpeg,0.96339214,10.259777138980109N,105.94048126137787E,654
29,Duy Tiên District-3195.jpeg,0.9624712,20.641605645242862N,106.02096413219442E,309
68,Hung Yen City-2374.jpeg,0.9622458,20.673163877627978N,106.06336357394854E,279
149,Bến Tre City-2693.jpeg,0.96183264,10.255627207466182N,106.36664693850851E,701
59,Mỹ Tho-3092.jpeg,0.9615051,10.383956607502844N,106.33411855531784E,806
78,Tây Ninh City-458.jpeg,0.9609503,11.311093437844091N,106.0990138879476E,987
62,Go Cong Town-430.jpeg,0.9606948,10.35361793756961N,106.67996251095214E,58
272,Mỹ Tho-2721.jpeg,0.96063393,10.377219273688485N,106.3437072078833E,810
282,Hiệp Hòa District-7979.jpeg,0.9603984,21.369935483310798N,105.92107872693087E,142
115,Phu Ly City-1715.jpeg,0.96029633,20.537024809672698N,105.93151872143017E,111
118,Tây Ninh City-356.jpeg,0.96008956,11.308398504318339N,106.09076737156333E,986
148,Vĩnh Long-352.jpeg,0.96006143,10.23552273724841N,105.95554391083778E,659
23,Vĩnh Long-1217.jpeg,0.9598881,10.251692338402876N,105.97197589206677E,46
1,Cao Lanh City-1072.jpeg,0.9596023,10.427104204353101N,105.63312968269555E,517
246,Sa Đéc City-754.jpeg,0.9594716,10.289625604888732N,105.75592837463535E,904
19,Phu Ly City-1694.jpeg,0.95866716,20.537024809672698N,105.90130015169242E,110
217,Long Hồ District-3924.jpeg,0.95852554,10.193066840398368N,106.01394905427645E,684
244,Tây Ninh City-352.jpeg,0.95824206,11.308398504318339N,106.08526969397381E,964
43,Mỹ Tho-2031.jpeg,0.9566529,10.365092072822634N,106.35192605293939E,837
9,Vĩnh Long-2115.jpeg,0.9558173,10.267861939557342N,105.90761729891985E,649
191,Cai Lậy Town-2894.jpeg,0.9557288,10.415410307511838N,106.15394254116356E,769
121,Cai Lậy Town-546.jpeg,0.9553507,10.373638837862787N,106.12380066850477E,781
34,Hiệp Hòa District-8884.jpeg,0.9553267,21.388800017991613N,106.00931855345885E,132
190,Hung Yen City-2636.jpeg,0.9553161,20.68124867820544N,106.08064447364077E,275
193,Vĩnh Long-1625.jpeg,0.9551645,10.258429672217234N,105.94869725199236E,656
112,Cao Lanh City-3258.jpeg,0.9550711,10.467528207239278N,105.62216777975802E,17
166,Ninh Bình-2104.jpeg,0.9543595,20.272519211026708N,105.95147386447422E,870
63,Phu Ly City-2042.jpeg,0.95290464,20.542414676724338N,105.91712892631695E,631
77,Thái Bình-761.jpeg,0.9501376,20.435205441728296N,106.31481617319312E,430
287,Bến Tre City-2152.jpeg,0.9498145,10.246194940126074N,106.36390840859137E,715
137,Bến Tre City-2152.jpeg,0.9498145,10.246194940126074N,106.36390840859137E,699
37,Vĩnh Long-966.jpeg,0.9497947,10.24764993811426N,105.96102123791412E,661
114,Phu Ly City-2032.jpeg,0.94930965,20.542414676724338N,105.90273913120375E,351
30,Cao Lanh City-988.jpeg,0.9489572,10.425756737590229N,105.63312968269555E,516
186,Trà Vinh City-1048.jpeg,0.9484425,9.92975183917341N,106.33176564748287E,728
58,Mỹ Tho-741.jpeg,0.9480033,10.343532604616676N,106.31631105769631E,830
42,Cai Lậy Town-1659.jpeg,0.94734466,10.392503372543006N,106.16901347749294E,777
98,Sa Đéc City-1044.jpeg,0.9466559,10.299057872228836N,105.75729800817837E,527
35,Hung Yen City-483.jpeg,0.934246,20.621960140637352N,106.07920439866642E,299
56,Bến Tre City-1657.jpeg,0.9326946,10.238110139548846N,106.35021575900566E,707
283,Mỹ Tho-1721.jpeg,0.93189514,10.359702205771145N,106.36425432052351E,819
11,Long Xuyen City-918.jpeg,0.93162876,10.330016938137788N,105.45639535967244E,493
87,Long Hồ District-5733.jpeg,0.9309929,10.229448442995913N,105.95507150728706E,658
94,Cao Lanh City-3139.jpeg,0.9262915,10.464833273713532N,105.62079754189082E,943
72,Hung Yen City-1339.jpeg,0.9252636,20.64082467531811N,106.06048342399983E,295
168,Bến Tre City-1524.jpeg,0.91965353,10.235415206023102N,106.37212399834277E,693
288,Hung Yen City-2128.jpeg,0.9195285,20.66507907705051N,106.0547231241024E,285
266,Hung Yen City-2128.jpeg,0.9195285,20.66507907705051N,106.0547231241024E,284
124,Phu Ly City-2462.jpeg,0.9154706,20.54915201053889N,105.96893218872448E,359
55,Phu Ly City-4015.jpeg,0.9147689,20.582838679611655N,105.93151872143017E,344
40,Long Xuyen City-3161.jpeg,0.91085535,10.378525741601193N,105.43995718372858E,926
0,Duy Tiên District-3368.jpeg,0.9092562,20.644300578768686N,105.98496901214044E,619
46,Cao Lanh City-2713.jpeg,0.9038951,10.455401006373423N,105.62079754189082E,940
216,Hiệp Hòa District-8883.jpeg,0.8991045,21.388800017991613N,106.0078719989256E,131
81,Long Hồ District-7876.jpeg,0.88908315,10.284694580273671N,105.99067188453644E,548
218,Long Xuyen City-1716.jpeg,0.8851194,10.347534006055131N,105.45913505566308E,15
153,Cai Lậy Town-532.jpeg,0.8837892,10.373638837862787N,106.10461947681281E,597
235,Go Cong Town-566.jpeg,0.81988496,10.357660337858226N,106.67996251095214E,57
10,Long Xuyen City-3157.jpeg,0.77962554,10.378525741601193N,105.43447779174731E,938
265,Cai Lậy Town-2931.jpeg,0.763255,10.416757774274712N,106.1224305833839E,596
286,Thái Bình-743.jpeg,0.76106644,20.433857974965385N,106.38240822242985E,461
83,Mỹ Tho-3272.jpeg,0.75091416,10.386651541028591N,106.36836374305156E,61
33,Mỹ Tho-3272.jpeg,0.75091416,10.386651541028591N,106.36836374305156E,828
71,Yên Mỹ District-1399.jpeg,0.7190444,20.877444475680402N,106.03349174718953E,252
143,Tây Ninh City-353.jpeg,0.7122049,11.308398504318339N,106.08664411337118E,989
281,Mỹ Tho-1378.jpeg,0.67930895,10.354312338719653N,106.33274874780851E,585
241,Cai Lậy Town-1867.jpeg,0.6403549,10.39654577283162N,106.12106049826306E,765
86,Go Cong Town-992.jpeg,0.62595373,10.368440071961205N,106.67859249650996E,856
80,Mỹ Tho-1881.jpeg,0.591082,10.362397139296887N,106.36425432052351E,821
88,Phu Ly City-4056.jpeg,0.5868593,20.58418614637456N,105.93151872143017E,343
236,Long Hồ District-6374.jpeg,0.56994814,10.24696551091325N,106.00299509204586E,679
270,Phu Ly City-3983.jpeg,0.5545112,20.58149121284874N,105.95310341409997E,620
126,Go Cong Town-2206.jpeg,0.5439678,10.40077927427014N,106.6758524676256E,54
255,Hung Yen City-2096.jpeg,0.507371,20.6637316102876N,106.06048342399983E,283
134,Bến Tre City-1608.jpeg,0.48650688,10.23676267278597N,106.38581664792848E,697
109,Bac Giang City-1412.jpeg,0.4337133,21.271267476667852N,106.20106780601773E,1001
226,Mỹ Tho-1325.jpeg,0.42382807,10.352964871956782N,106.36973355056092E,822
120,Trà Vinh City-1252.jpeg,0.3713973,9.940531573276383N,106.3399739468262E,576
108,Trà Vinh City-1252.jpeg,0.3713973,9.940531573276383N,106.3399739468262E,577
113,Trà Vinh City-643.jpeg,0.36857125,9.914929704781827N,106.30166854989055E,726
146,Tây Ninh City-800.jpeg,0.3380187,11.320525705184215N,106.09076737156333E,990
138,Tây Ninh City-800.jpeg,0.3380187,11.320525705184215N,106.09076737156333E,985
170,Sa Đéc City-966.jpeg,0.3186107,10.296362938703094N,105.76551580943658E,916
271,Mỹ Tho-1405.jpeg,0.30908224,10.354312338719653N,106.36973355056092E,823
258,Mỹ Tho-1405.jpeg,0.30908224,10.354312338719653N,106.36973355056092E,59
101,Trà Vinh City-1129.jpeg,0.25981393,9.933794239462024N,106.3399739468262E,758
95,Trà Vinh City-1129.jpeg,0.25981393,9.933794239462024N,106.3399739468262E,733
67,Binh Minh Town-3193.jpeg,0.22795032,10.06793294208743N,105.80910940639374E,24
82,Trà Vinh City-1402.jpeg,0.2127334,9.948616373853612N,106.32492539803006E,574
4,Phu Ly City-2658.jpeg,0.18322422,20.553194410827622N,105.93295770094147E,642
22,Tam Điệp-2433.jpeg,0.18156345,20.156077076315338N,105.92109909443417E,895
16,Hiệp Hòa District-1356.jpeg,0.17677672,21.268875476092177N,106.00497888985912E,175
38,Thanh Liêm District-462.jpeg,0.14645757,20.391156807901996N,105.91032093181974E,377
60,Long Hồ District-1398.jpeg,0.14531772,10.162075104852311N,105.97834867702704E,569
3,Mỹ Tho-1298.jpeg,0.120833404,10.352964871956782N,106.33274874780851E,815
222,Cao Lanh City-3719.jpeg,0.11906782,10.478307941342258N,105.59476302241417E,506
50,Cai Lậy Town-1443.jpeg,0.09202079,10.38980843901726N,106.09502888096684E,759
106,Trà Vinh City-2748.jpeg,0.090406574,9.986345443214013N,106.31261294901502E,741
54,Thái Bình-840.jpeg,0.085871026,20.436552908491205N,106.33207371767911E,435
280,Chau Doc City-3518.jpeg,0.085215874,10.690395141977882N,105.09876538175307E,463
209,Bac Giang City-1502.jpeg,0.08145865,21.273962410193683N,106.14178355728613E,193
90,Cai Lậy Town-2458.jpeg,0.08102955,10.407325506934603N,106.11832032802134E,84
133,Long Hồ District-6544.jpeg,0.07814511,10.257745245016228N,105.99751811093057E,682
91,Tây Ninh City-2815.jpeg,0.07769764,11.360949708070462N,106.16498601902181E,613
116,Cai Lậy Town-2554.jpeg,0.07758595,10.408672973697474N,106.1525724560427E,85
180,Long Hồ District-7152.jpeg,0.07227356,10.271219912644948N,106.00299509204586E,554
6,Hiệp Hòa District-3410.jpeg,0.07159439,21.303909611927963N,105.96158225386175E,152
107,Chau Doc City-2191.jpeg,0.06796931,10.670183140534787N,105.07408277317931E,955
92,Tây Ninh City-2331.jpeg,0.06761685,11.352864907493213N,106.14711856685587E,983
155,Cai Lậy Town-995.jpeg,0.0669368,10.381723638440027N,106.13887160483415E,79
125,Mỹ Tho-2755.jpeg,0.06550556,10.377219273688485N,106.39028066320114E,839
249,Ninh Bình-2075.jpeg,0.06535381,20.271171744263793N,105.96296340069738E,416
89,Ninh Bình-1010.jpeg,0.06495146,20.241527475479803N,105.95434624853E,417
14,Long Xuyen City-4630.jpeg,0.06353988,10.412212410673003N,105.41529991981282E,936
207,Long Xuyen City-2784.jpeg,0.06340698,10.371788407786832N,105.37968387193449E,492
201,Sa Đéc City-767.jpeg,0.06314427,10.289625604888732N,105.77373361069478E,910
5,Tây Ninh City-730.jpeg,0.062686406,11.317830771658468N,106.14299530866373E,614
229,Long Xuyen City-1000.jpeg,0.0606429,10.331364404900663N,105.48379231957885E,931
105,Bến Tre City-1237.jpeg,0.060064804,10.230025338971611N,106.35706208379852E,714
225,Trà Vinh City-1202.jpeg,0.059995722,9.937836639750643N,106.3399739468262E,753
261,Long Hồ District-7584.jpeg,0.059330318,10.279304713222182N,106.00847207316117E,553
61,Binh Minh Town-3180.jpeg,0.058957197,10.066585475324558N,105.85974208005064E,533
278,Bac Giang City-1477.jpeg,0.057691652,21.272614943430767N,106.20106780601773E,104
49,Trà Vinh City-884.jpeg,0.056688007,9.923014505359054N,106.31124489912449E,732
192,Bến Tre City-1386.jpeg,0.054087065,10.232720272497357N,106.37897032313562E,695
73,Hiệp Hòa District-2493.jpeg,0.05319582,21.289087477535897N,105.92686494506385E,162
150,Bến Tre City-3111.jpeg,0.051963236,10.265059474806286N,106.34610796412997E,52
74,Trà Vinh City-1251.jpeg,0.051910996,9.940531573276383N,106.33860589693563E,737
211,Trà Vinh City-1251.jpeg,0.051910996,9.940531573276383N,106.33860589693563E,722
145,Tây Ninh City-1896.jpeg,0.051701523,11.344780106915964N,106.1127580819214E,988
65,Yên Mỹ District-1181.jpeg,0.051612545,20.873402075391663N,106.0608958532426E,259
53,Cao Lanh City-3889.jpeg,0.051236328,10.481002874868004N,105.6440915856331E,18
151,Trà Vinh City-101.jpeg,0.05118297,9.893370236575885N,106.34271004660732E,738
17,Mỹ Tho-591.jpeg,0.050889872,10.340837671090929N,106.31220163516828E,922
172,Long Hồ District-5164.jpeg,0.05057314,10.217321242130064N,105.99751811093057E,557
31,Mỹ Hào District-1355.jpeg,0.050463974,20.921758809506876N,106.09353038969671E,231
57,Mỹ Hào District-1355.jpeg,0.050463974,20.921758809506876N,106.09353038969671E,232
185,Tây Ninh City-661.jpeg,0.0495125,11.316483304895591N,106.11963017890828E,981
103,Long Xuyen City-1717.jpeg,0.049087416,10.347534006055131N,105.4605049036584E,929
