image,pred,lon,lat,found_Anditi
Duy Tiên District-5234.jpeg,0.9820406660437584,105.94465447767993N,20.672597380789824E,[]
Go Cong Town-3152.jpeg,0.9808455184102058,106.63886207768692N,10.422338742476105E,[]
Long Xuyen City-3620.jpeg,0.9803456366062164,105.42214915978941N,10.387958008941302E,['485.jpeg']
Phu Ly City-57.jpeg,0.9802360609173776,105.9142509672943N,20.492558406496656E,[]
Cai Lậy Town-4972.jpeg,0.9800905659794809,106.12380066850477N,10.454486843635143E,[]
Duy Tiên District-5301.jpeg,0.9796443730592728,105.94465447767993N,20.67394484755273E,[]
Long Xuyen City-3556.jpeg,0.9793016463518144,105.41940946379876N,10.38661054217843E,[]
Phu Ly City-3817.jpeg,0.9792448580265044,105.94734749605469N,20.577448812560007E,['345.jpeg']
Go Cong Town-3971.jpeg,0.9790153354406356,106.66078230876171N,10.435813410104826E,['847.jpeg']
Cai Lậy Town-5376.jpeg,0.9786563068628312,106.18682458406407N,10.461224177449507E,[]
Cai Lậy Town-4971.jpeg,0.9783328026533128,106.1224305833839N,10.454486843635143E,[]
Mỹ Hào District-1165.jpeg,0.9778597503900528,106.08920254855506N,20.91771640921813E,[]
Cai Lậy Town-5721.jpeg,0.977762259542942,106.17312373285549N,10.467961511263871E,[]
Go Cong Town-4042.jpeg,0.9777226820588112,106.64982219322431N,10.4371608768677E,['53.jpeg']
Hiệp Hòa District-33.jpeg,0.9776391014456748,105.97460124466096N,21.22710400644183E,['167.jpeg']
Go Cong Town-2001.jpeg,0.9774188697338104,106.68544256872082N,10.395389407218653E,[]
Mỹ Hào District-2246.jpeg,0.977377623319626,106.04592413713877N,20.93927587742473E,['212.jpeg']
Go Cong Town-3132.jpeg,0.97697614133358,106.61146178884346N,10.422338742476105E,[]
Long Xuyen City-1941.jpeg,0.9769028946757315,105.44269687971922N,10.352923873106617E,[]
Go Cong Town-1383.jpeg,0.97665087133646,106.65804227987738N,10.379219806064183E,[]
Go Cong Town-1328.jpeg,0.9762694612145424,106.65393223655084N,10.37787233930131E,[]
Phu Ly City-2876.jpeg,0.9761457592248916,105.92864076240751N,20.557236811116354E,[]
Duy Tiên District-4669.jpeg,0.975860759615898,105.94033506327347N,20.66316511344944E,"['324.jpeg', '323.jpeg']"
Go Cong Town-3205.jpeg,0.975814327597618,106.60187168774827N,10.423686209238976E,[]
Go Cong Town-2540.jpeg,0.9757042229175568,106.68133252539432N,10.408864074847378E,[]
